year,hires,terminations,net_change,net_change_percent
2000,220,31,189,85.91
2001,1122,203,919,81.91
2002,1067,173,894,83.79
2003,1142,192,950,83.19
2004,1135,195,940,82.82
2005,1097,173,924,84.23
2006,1118,176,942,84.26
2007,1089,144,945,86.78
2008,1107,139,968,87.44
2009,1140,144,996,87.37
2010,1099,123,976,88.81
2011,1101,112,989,89.83
2012,1103,105,998,90.48
2013,1105,92,1013,91.67
2014,1053,85,968,91.93
2015,1059,70,989,93.39
2016,1122,62,1060,94.47
2017,1091,51,1040,95.33
2018,1147,43,1104,96.25
2019,1083,42,1041,96.12
2020,1012,20,992,98.02
